6499.838	0
6484.664	0.097786
6469.142	0.081294
6453.695	0.121649
6438.321	0.097088
6422.608	0.064567
6407.381	0.064414
6391.818	0.096386
6376.331	0.032051
6360.919	0.159867
6345.58	0.071767
6330.316	0.01591
6314.726	0.111094
6299.213	0.292885
6283.775	0.055275
6268.413	0.023631
6253.127	0.03929
6237.525	0.015677
6222.388	0.078193
6206.939	0.0078
6191.184	0.085581
6175.889	0.038804
6160.67	0.209027
6145.148	0.432444
6129.705	0.523791
6114.338	0.875919
6098.677	1.517437
6083.465	3.447763
6067.961	9.226522
6052.536	6.776804
6037.189	2.738747
6021.557	1.566351
6006.367	1.245391
5990.894	1.468034
5975.5	2.26022
5959.831	3.662289
5944.596	7.634544
5929.088	16.779
5913.661	19.90109
5898.313	20.30157
5882.699	13.36549
5867.512	7.284853
5852.06	5.853717
5847.953	6.349324
5844.194	7.358719
5840.439	9.034693
5836.349	10.64188
5832.604	10.4225
5828.865	8.840994
5824.79	7.06346
5821.061	5.552055
5817.336	4.488512
5809.563	3.314432
5801.81	3.076705
5794.078	2.744957
5786.367	2.021439
5778.677	1.459602
5771.006	0.928264
5763.357	0.717002
5755.396	0.65092
5747.787	0.548939
5740.199	0.389521
5732.302	0.288137
5724.754	0.251788
5716.899	0.251442
5709.392	0.222414
5701.579	0.243604
5693.788	0.221806
5686.018	0.221503
5678.269	0.221201
5670.542	0.292158
5662.835	0.412735
5655.149	0.355323
5647.484	0.298067
5639.84	0.262228
5632.216	0.247718
5624.297	0.261505
5616.715	0.282327
5608.84	0.310124
5601.3	0.373056
5593.467	0.442824
5585.656	0.386053
5578.178	0.343478
5570.41	0.335999
5562.663	0.370483
5554.938	0.460716
5547.235	0.543727
5539.552	0.522091
5531.891	0.465756
5523.946	0.47897
5516.328	0.58229
5508.731	0.80993
5500.853	0.891722
5493.298	0.711017
5485.464	0.592818
5477.951	0.54382
5470.16	0.556794
5462.391	0.638375
5454.645	0.843105
5446.92	1.266288
5439.217	1.763461
5431.535	1.651763
5423.876	1.145062
5416.238	0.796331
5408.329	0.632056
5400.734	0.563301
5392.871	0.589589
5385.32	0.595531
5377.501	0.520333
5369.704	0.452101
5362.218	0.417778
5354.466	0.43736
5346.736	0.524075
5339.028	0.684341
5331.343	0.777149
5323.396	0.668958
5315.756	0.534398
5308.137	0.473599
5300.26	0.492877
5292.686	0.618542
5284.854	1.042659
5277.323	1.843607
5269.537	1.562767
5261.773	1.018269
5254.032	0.673446
5246.314	0.481268
5238.619	0.3884
5230.946	0.36811
5223.296	0.374136
5215.668	0.399806
5207.791	0.530089
5200.208	0.758034
5192.378	0.580719
5184.571	0.377877
5177.055	0.312273
5169.294	0.311804
5161.557	0.408631
5153.842	0.466309
5146.151	0.375077
5138.482	0.303489
5130.573	0.277233
